Epochs,Samples Seen,Training Loss,Validation Loss
9,3400,1.3222286400111283,3.3204587182998657
9,3600,1.3211413578606315,3.3752540204524992
9,3800,1.3316263864620737,3.3320018474260964
9,4000,1.336098495028913,3.3484606258074443
9,4200,1.3434229723328637,3.3236083909670513
9,4400,1.3465315010059964,3.3522311475276947
9,4600,1.3485311838725338,3.385856998523076
9,4800,1.3555931686982512,3.355100769440333
9,5000,1.3637913950741292,3.3312887416283288
9,5200,1.365353067631905,3.3279059628248215
9,5400,1.3708374557892482,3.321242771585782
9,5600,1.3751565721205303,3.338930255850156
9,5800,1.3802151040116262,3.3530112499396005
9,6000,1.3874413922677438,3.3506923162937166
9,6200,1.3922427519915566,3.347932817578316
9,6400,1.3957736072130502,3.3332116486231484
9,6600,1.4017085048149933,3.3563838272094726
9,6800,1.4068522869050504,3.345253345370293
9,7000,1.4091824146977492,3.3517951190869013
9,7200,1.414276900490125,3.3774555877447128
9,7400,1.4169606891636912,3.343460685968399
9,7600,1.4216898642637228,3.3428365948200227
9,7800,1.4254466742429979,3.3470638021628063
9,8000,1.4303068675138055,3.3402020632425944
9,8200,1.4337676274303983,3.3309446546236674
9,8400,1.437750738273774,3.3332313792705537
9,8600,1.4411495504164418,3.378086347659429
9,8800,1.4442701235345818,3.3434544738928476
9,9000,1.4471529893345303,3.335897208571434
9,9200,1.4502412989476452,3.3599519758224488
9,9400,1.4543762572902315,3.3576041266123453
9,9600,1.458540634093806,3.3456293777624766
9,9800,1.462620246310015,3.3431852968533833
9,10000,1.466279882505536,3.3540744200547534
9,10200,1.4711439478017536,3.3501165855328243
9,10400,1.4746934744744347,3.3360118624369304
9,10600,1.4792142580955658,3.346349175612132
9,10800,1.4824625261707438,3.353058839082718
9,11000,1.4857199610661376,3.3552554510434467
9,11200,1.489258500667555,3.3488257908821106
9,11400,1.492665624581931,3.340190486192703
9,11600,1.4981457501804007,3.3165451413790383
9,11800,1.501746112651239,3.3541458847522736
9,12000,1.5060390851000944,3.3364264206091563
9,12200,1.50850978378634,3.3802020188967385
9,12400,1.5120624921783323,3.3619855734904607
9,12600,1.5162657598346945,3.3678803791205087
10,200,1.320423445403576,3.359229994614919
10,400,1.2277910739928484,3.3675121593475343
10,600,1.2325350935260455,3.369883702238401
10,800,1.2154297081567347,3.3871003580490746
